id,trip_duration
id000549,570
id000550,1173
id000551,286
id000552,393
id000553,951
id000554,869
id000555,1178
id000556,674
id000557,277
id000558,526
id000559,1040
id000560,679
id000561,838
id000562,364
id000563,313
id000564,877
id000565,638
id000566,760
id000567,443
id000568,522
id000569,370
id000570,340
id000571,274
id000572,1010
id000573,419
id000574,601
id000575,427
id000576,1697
id000577,689
id000578,800
id000579,484
id000580,345
id000581,855
id000582,385
id000583,534
id000584,1078
id000585,733
id000586,395
id000587,1183
id000588,626
id000589,642
id000590,398
id000591,241
id000592,1044
id000593,303
id000594,907
id000595,786
id000596,466
id000597,1017
id000598,732
id000599,644
id000600,604
id000601,603
id000602,342
id000603,622
id000604,341
id000605,806
id000606,336
id000607,778
id000608,1087
id000609,469
id000610,673
id000611,1190
id000612,570
id000613,792
id000614,987
id000615,761
id000616,703
id000617,351
id000618,1344
id000619,497
id000620,364
id000621,289
id000622,805
id000623,311
id000624,346
id000625,595
id000626,449
id000627,1160
id000628,1558
id000629,547
id000630,1548
id000631,507
id000632,875
id000633,376
id000634,745
id000635,1814
id000636,628
id000637,311
id000638,263
id000639,474
id000640,1132
id000641,339
id000642,411
id000643,261
id000644,622
id000645,908
id000646,314
id000647,348
id000648,861
id000649,474
id000650,1246
id000651,716
id000652,664
id000653,577
id000654,1045
id000655,734
id000656,996
id000657,631
id000658,370
id000659,370
id000660,337
id000661,1048
id000662,602
id000663,1603
id000664,269
id000665,726
id000666,459
id000667,908
id000668,353
id000669,368
id000670,787
id000671,577
id000672,257
id000673,761
id000674,353
id000675,492
id000676,777
id000677,630
id000678,945
id000679,454
id000680,990
id000681,1244
id000682,726
id000683,1142
id000684,485
id000685,599
id000686,688
id000687,378
id000688,750
id000689,775
id000690,481
id000691,1006
id000692,664
id000693,712
id000694,624
id000695,920
id000696,522
id000697,956
id000698,310
id000699,332
id000700,699
id000701,304
id000702,431
id000703,268
id000704,305
id000705,276
id000706,554
id000707,387
id000708,728
id000709,355
id000710,806
id000711,462
id000712,377
id000713,385
id000714,457
id000715,410
id000716,580
id000717,590
id000718,438
id000719,539
id000720,599
id000721,1345
id000722,266
id000723,452
id000724,615
id000725,471
id000726,262
id000727,562
id000728,461
id000729,329
id000730,519
id000731,924
id000732,1231
id000733,310
id000734,535
id000735,437
id000736,443
id000737,1449
id000738,435
id000739,881
id000740,360
id000741,393
id000742,675
id000743,1008
id000744,847
id000745,524
id000746,725
id000747,545
id000748,333
id000749,1007
id000750,466
id000751,635
id000752,521
id000753,496
id000754,874
id000755,409
id000756,328
id000757,764
id000758,562
id000759,1324
id000760,316
id000761,357
id000762,652
id000763,530
id000764,884
id000765,293
id000766,442
id000767,719
id000768,541
id000769,519
id000770,1322
id000771,1926
id000772,397
id000773,1033
id000774,310
id000775,1017
id000776,855
id000777,360
id000778,375
id000779,662
id000780,857
id000781,682
id000782,318
id000783,366
id000784,1402
id000785,264
id000786,655
id000787,1010
id000788,850
id000789,512
id000790,732
id000791,1103
id000792,300
id000793,1552
id000794,695
id000795,790
id000796,302
id000797,351
id000798,866
id000799,538
id000800,643
id000801,407
id000802,290
id000803,362
id000804,668
id000805,552
id000806,729
id000807,1752
id000808,1586
id000809,328
id000810,632
id000811,350
id000812,689
id000813,1449
id000814,319
id000815,293
id000816,1767
id000817,1020
id000818,389
id000819,333
id000820,326
id000821,561
id000822,395
id000823,559
id000824,392
id000825,594
id000826,403
id000827,847
id000828,411
id000829,1101
id000830,1499
id000831,948
id000832,303
id000833,341
id000834,416
id000835,774
id000836,308
id000837,403
id000838,1715
id000839,1241
id000840,787
id000841,878
id000842,1061
id000843,429
id000844,267
id000845,1374
id000846,847
id000847,521
id000848,662
id000849,1531
id000850,619
id000851,489
id000852,1600
id000853,764
id000854,698
id000855,891
id000856,341
id000857,761
id000858,464
id000859,445
id000860,677
id000861,520
id000862,578
id000863,819
id000864,809
id000865,587
id000866,390
id000867,519
id000868,1146
id000869,405
id000870,281
id000871,258
id000872,362
id000873,547
id000874,684
id000875,869
id000876,482
id000877,1014
id000878,669
id000879,670
id000880,246
id000881,716
id000882,319
id000883,636
id000884,338
id000885,458
id000886,558
id000887,390
id000888,515
id000889,282
id000890,397
id000891,1045
id000892,577
id000893,325
id000894,323
id000895,736
id000896,385
id000897,479
id000898,1014
id000899,422
id000900,1383
id000901,357
id000902,1238
id000903,1026
id000904,460
id000905,1209
id000906,1647
id000907,707
id000908,382
id000909,1267
id000910,1157
id000911,623
id000912,1449
id000913,465
id000914,498
id000915,689
id000916,543
id000917,513
id000918,600
id000919,887
id000920,630
id000921,812
id000922,316
id000923,743
id000924,647
id000925,1401
id000926,672
id000927,314
id000928,373
id000929,470
id000930,1184
id000931,465
id000932,808
id000933,853
id000934,814
id000935,571
id000936,616
id000937,324
id000938,671
id000939,603
id000940,572
id000941,454
id000942,283
id000943,1246
id000944,570
id000945,625
id000946,461
id000947,1232
id000948,1162
id000949,540
id000950,312
id000951,310
id000952,590
id000953,842
id000954,707
id000955,420
id000956,459
id000957,543
id000958,755
id000959,530
id000960,381
id000961,378
id000962,379
id000963,352
id000964,1219
id000965,980
id000966,340
id000967,495
id000968,637
id000969,376
id000970,1517
id000971,288
id000972,666
id000973,854
id000974,487
id000975,1377
id000976,636
id000977,284
id000978,357
id000979,293
id000980,2240
id000981,547
id000982,610
id000983,465
id000984,487
id000985,893
id000986,1058
id000987,348
id000988,398
id000989,1096
id000990,964
id000991,769
id000992,631
id000993,578
id000994,1043
id000995,583
id000996,573
id000997,1063
id000998,430
id000999,372
id001000,482
id001001,792
id001002,379
id001003,626
id001004,583
id001005,651
id001006,867
id001007,768
id001008,627
id001009,272
id001010,517
id001011,1269
id001012,1034
id001013,452
id001014,560
id001015,1765
id001016,719
id001017,785
id001018,368
id001019,694
id001020,517
id001021,905
id001022,498
id001023,992
id001024,298
id001025,495
id001026,418
id001027,865
id001028,368
id001029,985
id001030,824
id001031,572
id001032,678
id001033,595
id001034,257
id001035,1032
id001036,1524
id001037,455
id001038,883
id001039,1444
id001040,908
id001041,805
id001042,494
id001043,1149
id001044,290
id001045,339
id001046,954
id001047,648
id001048,759
id001049,389
id001050,1629
id001051,1317
id001052,267
id001053,279
id001054,535
id001055,367
id001056,428
id001057,662
id001058,323
id001059,777
id001060,370
id001061,313
id001062,1209
id001063,599
id001064,1255
id001065,718
id001066,656
id001067,370
id001068,410
id001069,831
id001070,698
id001071,394
id001072,965
id001073,1254
id001074,829
id001075,771
id001076,684
id001077,408
id001078,1054
id001079,1258
id001080,1263
id001081,1458
id001082,874
id001083,501
id001084,965
id001085,1051
id001086,296
id001087,470
id001088,1295
id001089,956
id001090,369
id001091,580
id001092,548
id001093,1142
id001094,329
id001095,334
id001096,820
id001097,795
id001098,1220
id001099,590
id001100,771
id001101,770
id001102,1312
id001103,1498
id001104,965
id001105,369
id001106,294
id001107,649
id001108,604
id001109,1145
id001110,383
id001111,616
id001112,673
id001113,1626
id001114,608
id001115,491
id001116,455
id001117,1079
id001118,849
id001119,1227
id001120,256
id001121,1151
id001122,1026
id001123,885
id001124,1069
id001125,381
id001126,1039
id001127,642
id001128,383
id001129,772
id001130,393
id001131,651
id001132,651
id001133,388
id001134,785
id001135,855
id001136,1344
id001137,494
id001138,610
id001139,339
id001140,632
id001141,946
id001142,747
id001143,760
id001144,768
id001145,853
id001146,878
id001147,482
id001148,324
id001149,809
id001150,534
id001151,519
id001152,1725
id001153,344
id001154,757
id001155,738
id001156,406
id001157,737
id001158,911
id001159,754
id001160,390
id001161,690
id001162,337
id001163,1390
id001164,876
id001165,815
id001166,327
id001167,554
id001168,551
id001169,345
id001170,1298
id001171,548
id001172,628
id001173,442
id001174,685
id001175,554
id001176,828
id001177,840
id001178,713
id001179,639
id001180,628
id001181,1073
id001182,698
id001183,316
id001184,1007
id001185,335
id001186,1356
id001187,1439
id001188,933
id001189,1406
id001190,306
id001191,1442
id001192,1209
id001193,871
id001194,804
id001195,1359
id001196,637
id001197,423
id001198,375
id001199,433
id001200,407
id001201,933
id001202,325
id001203,355
id001204,925
id001205,397
id001206,680
id001207,623
id001208,426
id001209,224
id001210,287
id001211,275
id001212,698
id001213,581
id001214,617
id001215,654
id001216,539
id001217,685
id001218,863
id001219,1005
id001220,879
id001221,300
id001222,363
id001223,922
id001224,505
id001225,390
id001226,287
id001227,888
id001228,366
id001229,270
id001230,299
id001231,878
id001232,575
id001233,876
id001234,395
id001235,575
id001236,1593
id001237,432
id001238,630
id001239,293
id001240,1217
id001241,673
id001242,407
id001243,706
id001244,925
id001245,590
id001246,941
id001247,597
id001248,517
id001249,320
id001250,803
id001251,305
id001252,393
id001253,368
id001254,1014
id001255,309
id001256,704
id001257,276
id001258,1040
id001259,293
id001260,476
id001261,1531
id001262,1423
id001263,441
id001264,620
id001265,411
id001266,262
id001267,1121
id001268,306
id001269,617
id001270,304
id001271,981
id001272,452
id001273,1354
id001274,823
id001275,281
id001276,935
id001277,981
id001278,1912
id001279,326
id001280,1111
id001281,738
id001282,647
id001283,453
id001284,572
id001285,902
id001286,1770
id001287,1243
id001288,309
id001289,669
id001290,248
id001291,752
id001292,1242
id001293,432
id001294,356
id001295,949
id001296,800
id001297,586
id001298,912
id001299,294
id001300,345
id001301,405
id001302,367
id001303,1185
id001304,631
id001305,527
id001306,985
id001307,859
id001308,355
id001309,940
id001310,825
id001311,282
id001312,738
id001313,441
id001314,570
id001315,610
id001316,627
id001317,560
id001318,337
id001319,1972
id001320,648
id001321,922
id001322,441
id001323,338
id001324,312
id001325,456
id001326,285
id001327,472
id001328,501
id001329,519
id001330,262
id001331,1359
id001332,389
id001333,882
id001334,342
id001335,418
id001336,475
id001337,868
id001338,432
id001339,558
id001340,566
id001341,871
id001342,420
id001343,608
id001344,600
id001345,317
id001346,1092
id001347,289
id001348,522
id001349,441
id001350,460
id001351,595
id001352,570
id001353,346
id001354,367
id001355,292
id001356,831
id001357,360
id001358,878
id001359,277
id001360,290
id001361,683
id001362,451
id001363,835
id001364,617
id001365,288
id001366,1168
id001367,441
id001368,648
id001369,594
id001370,465
id001371,848
id001372,611
id001373,2259
id001374,436
id001375,831
id001376,705
id001377,415
id001378,330
id001379,992
id001380,825
id001381,756
id001382,298
id001383,361
id001384,1124
id001385,310
id001386,804
id001387,894
id001388,1430
id001389,601
id001390,615
id001391,319
id001392,530
id001393,373
id001394,718
id001395,265
id001396,757
id001397,774
id001398,989
id001399,608
id001400,636
id001401,826
id001402,482
id001403,457
id001404,1341
id001405,638
id001406,1576
id001407,438
id001408,932
id001409,704
id001410,1687
id001411,1032
id001412,253
id001413,351
id001414,233
id001415,1328
id001416,562
id001417,427
id001418,1119
id001419,331
id001420,289
id001421,872
id001422,308
id001423,458
id001424,252
id001425,622
id001426,338
id001427,308
id001428,367
id001429,310
id001430,594
id001431,1140
id001432,447
id001433,568
id001434,461
id001435,293
id001436,1278
id001437,525
id001438,387
id001439,686
id001440,268
id001441,577
id001442,1235
id001443,400
id001444,800
id001445,415
id001446,930
id001447,574
id001448,283
id001449,1342
id001450,1388
id001451,1678
id001452,972
id001453,1054
id001454,817
id001455,320
id001456,513
id001457,299
id001458,299
id001459,981
id001460,509
id001461,422
id001462,360
id001463,535
id001464,1145
id001465,1017
id001466,728
id001467,874
id001468,493
id001469,305
id001470,1349
id001471,789
id001472,442
id001473,338
id001474,588
id001475,316
id001476,729
id001477,915
id001478,311
id001479,328
id001480,1436
id001481,749
id001482,1749
id001483,475
id001484,296
id001485,657
id001486,309
id001487,347
id001488,418
id001489,472
id001490,1468
id001491,637
id001492,611
id001493,1068
id001494,480
id001495,330
id001496,914
id001497,544
id001498,589
id001499,676
id001500,754
id001501,328
id001502,413
id001503,768
id001504,850
id001505,304
id001506,511
id001507,976
id001508,438
id001509,332
id001510,483
id001511,264
id001512,552
id001513,322
id001514,1067
id001515,626
id001516,589
id001517,355
id001518,804
id001519,1485
id001520,414
id001521,762
id001522,630
id001523,851
id001524,784
id001525,486
id001526,718
id001527,493
id001528,271
id001529,1921
id001530,275
id001531,1152
id001532,769
id001533,1075
id001534,572
id001535,639
id001536,598
id001537,978
id001538,652
id001539,1099
id001540,1132
id001541,381
id001542,802
id001543,657
id001544,276
id001545,893
id001546,466
id001547,907
id001548,1034
id001549,304
id001550,374
id001551,467
id001552,410
id001553,1016
id001554,560
id001555,380
id001556,355
id001557,475
id001558,310
id001559,677
id001560,292
id001561,668
id001562,421
id001563,827
id001564,988
id001565,844
id001566,545
id001567,910
id001568,341
id001569,1112
id001570,281
id001571,989
id001572,602
id001573,282
id001574,558
id001575,314
id001576,671
id001577,558
id001578,918
id001579,1258
id001580,687
id001581,621
id001582,822
id001583,804
id001584,320
id001585,254
id001586,2024
id001587,406
id001588,1121
id001589,773
id001590,514
id001591,1192
id001592,631
id001593,900
id001594,1561
id001595,509
id001596,573
id001597,636
id001598,1281
id001599,455
id001600,650
id001601,279
id001602,849
id001603,547
id001604,491
id001605,471
id001606,680
id001607,523
id001608,263
id001609,1359
id001610,1409
id001611,1163
id001612,857
id001613,786
id001614,1389
id001615,478
id001616,651
id001617,389
id001618,1321
id001619,413
id001620,285
id001621,585
id001622,1807
id001623,684
id001624,451
id001625,773
id001626,701
id001627,756
id001628,667
id001629,770
id001630,255
id001631,257
id001632,276
id001633,769
id001634,460
id001635,1438
id001636,1286
id001637,304
id001638,309
id001639,799
id001640,994
id001641,1230
id001642,372
id001643,293
id001644,815
id001645,325
id001646,257
id001647,529
id001648,336
id001649,305
id001650,298
id001651,421
id001652,507
id001653,860
id001654,721
id001655,459
id001656,982
id001657,1050
id001658,373
id001659,390
id001660,1093
id001661,1385
id001662,751
id001663,684
id001664,359
id001665,1442
id001666,441
id001667,410
id001668,473
id001669,1649
id001670,394
id001671,403
id001672,645
id001673,588
id001674,910
id001675,762
id001676,452
id001677,688
id001678,276
id001679,411
id001680,709
id001681,487
id001682,510
id001683,333
id001684,1517
id001685,779
id001686,305
id001687,906
id001688,395
id001689,915
id001690,680
id001691,526
id001692,502
id001693,688
id001694,281
id001695,285
id001696,829
id001697,545
id001698,816
id001699,298
id001700,422
id001701,690
id001702,771
id001703,655
id001704,792
id001705,838
id001706,315
id001707,555
id001708,786
id001709,434
id001710,1201
id001711,774
id001712,355
id001713,342
id001714,379
id001715,523
id001716,528
id001717,506
id001718,412
id001719,366
id001720,353
id001721,833
id001722,712
id001723,1155
id001724,967
id001725,347
id001726,309
id001727,527
id001728,465
id001729,1498
id001730,793
id001731,341
id001732,712
id001733,299
id001734,321
id001735,368
id001736,802
id001737,724
id001738,582
id001739,1798
id001740,663
id001741,475
id001742,1249
id001743,251
id001744,261
id001745,945
id001746,781
id001747,278
id001748,479
id001749,952
id001750,365
id001751,441
id001752,1062
id001753,637
id001754,506
id001755,546
id001756,764
id001757,955
id001758,768
id001759,443
id001760,1125
id001761,890
id001762,435
id001763,1075
id001764,424
id001765,822
id001766,374
id001767,716
id001768,859
id001769,899
id001770,517
id001771,1641
id001772,388
id001773,494
id001774,482
id001775,927
id001776,675
id001777,884
id001778,399
id001779,732
id001780,497
id001781,296
id001782,360
id001783,235
id001784,900
id001785,256
id001786,1236
id001787,351
id001788,1155
id001789,396
id001790,1148
id001791,1237
id001792,610
id001793,516
id001794,759
id001795,511
id001796,389
id001797,1091
id001798,377
id001799,865
id001800,849
id001801,1140
id001802,1068
id001803,755
id001804,1071
id001805,1065
id001806,1035
id001807,338
id001808,420
id001809,358
id001810,526
id001811,598
id001812,588
id001813,294
id001814,634
id001815,445
id001816,396
id001817,341
id001818,1851
id001819,438
id001820,308
id001821,267
id001822,355
id001823,322
id001824,1151
id001825,964
id001826,1495
id001827,294
id001828,319
id001829,1194
id001830,466
id001831,1056
id001832,735
id001833,305
id001834,325
id001835,281
id001836,1149
id001837,1015
id001838,198
id001839,640
id001840,1031
id001841,1070
id001842,403
id001843,561
id001844,823
id001845,474
id001846,432
id001847,374
id001848,568
id001849,314
id001850,492
id001851,499
id001852,361
id001853,1069
id001854,688
id001855,348
id001856,454
id001857,395
id001858,354
id001859,573
id001860,328
id001861,312
id001862,1003
id001863,316
id001864,1073
id001865,656
id001866,279
id001867,307
id001868,1152
id001869,261
id001870,304
id001871,469
id001872,288
id001873,552
id001874,289
id001875,441
id001876,638
id001877,549
id001878,504
id001879,832
id001880,888
id001881,767
id001882,531
id001883,591
id001884,1248
id001885,634
id001886,919
id001887,724
id001888,466
id001889,336
id001890,323
id001891,662
id001892,498
id001893,1803
id001894,503
id001895,444
id001896,329
id001897,272
id001898,1080
id001899,993
id001900,835
id001901,813
id001902,394
id001903,883
id001904,611
id001905,1383
id001906,741
id001907,706
id001908,326
id001909,958
id001910,364
id001911,910
id001912,690
id001913,610
id001914,378
id001915,846
id001916,1046
id001917,207
id001918,791
id001919,488
id001920,607
id001921,417
id001922,597
id001923,467
id001924,611
id001925,1260
id001926,470
id001927,297
id001928,671
id001929,375
id001930,277
id001931,784
id001932,1000
id001933,256
id001934,750
id001935,771
id001936,947
id001937,280
id001938,361
id001939,656
id001940,1142
id001941,507
id001942,452
id001943,506
id001944,1348
id001945,430
id001946,652
id001947,558
id001948,511
id001949,1129
id001950,677
id001951,746
id001952,1008
id001953,1577
id001954,346
id001955,869
id001956,275
id001957,1107
id001958,894
id001959,600
id001960,720
id001961,690
id001962,616
id001963,367
id001964,582
id001965,383
id001966,662
id001967,487
id001968,558
id001969,1102
id001970,1653
id001971,603
id001972,934
id001973,418
id001974,290
id001975,267
id001976,672
id001977,1077
id001978,887
id001979,1074
id001980,519
id001981,329
id001982,767
id001983,326
id001984,651
id001985,547
id001986,1745
id001987,1395
id001988,485
id001989,363
id001990,875
id001991,584
id001992,625
id001993,1124
id001994,994
id001995,470
id001996,444
id001997,503
id001998,493
id001999,403
id002000,612
id002001,600
id002002,502
id002003,853
id002004,267
id002005,308
id002006,927
id002007,675
id002008,267
id002009,556
id002010,242
id002011,610
id002012,2165
id002013,1039
id002014,1202
id002015,628
id002016,627
id002017,1529
id002018,384
id002019,504
id002020,884
id002021,591
id002022,476
id002023,633
id002024,1549
id002025,450
id002026,1437
id002027,500
id002028,520
id002029,914
id002030,759
id002031,955
id002032,280
id002033,971
id002034,303
id002035,1152
id002036,330
id002037,923
id002038,368
id002039,1013
id002040,918
id002041,471
id002042,1050
id002043,353
id002044,678
id002045,720
id002046,283
id002047,801
id002048,893
id002049,843
id002050,966
id002051,316
id002052,398
id002053,283
id002054,333
id002055,408
id002056,385
id002057,502
id002058,1282
id002059,672
id002060,863
id002061,346
id002062,837
id002063,807
id002064,815
id002065,986
id002066,353
id002067,631
id002068,309
id002069,851
id002070,670
id002071,1128
id002072,783
id002073,663
id002074,869
id002075,276
id002076,815
id002077,478
id002078,704
id002079,736
id002080,1023
id002081,1215
id002082,1030
id002083,342
id002084,514
id002085,1982
id002086,599
id002087,616
id002088,1177
id002089,948
id002090,553
id002091,460
id002092,512
id002093,222
id002094,933
id002095,826
id002096,263
id002097,637
id002098,679
id002099,1086
id002100,384
id002101,424
id002102,954
id002103,1208
id002104,603
id002105,713
id002106,384
id002107,999
id002108,389
id002109,985
id002110,454
id002111,303
id002112,340
id002113,594
id002114,1469
id002115,768
id002116,449
id002117,996
id002118,727
id002119,563
id002120,497
id002121,528
id002122,1637
id002123,756
id002124,566
id002125,1039
id002126,669
id002127,589
id002128,370
id002129,1100
id002130,961
id002131,932
id002132,334
id002133,296
id002134,303
id002135,251
id002136,1337
id002137,645
id002138,1337
id002139,840
id002140,1298
id002141,773
id002142,914
id002143,639
id002144,259
id002145,446
id002146,1224
id002147,280
id002148,979
id002149,280
id002150,209
id002151,989
id002152,426
id002153,348
id002154,949
id002155,767
id002156,480
id002157,703
id002158,458
id002159,722
id002160,301
id002161,966
id002162,763
id002163,292
id002164,673
id002165,1319
id002166,1019
id002167,833
id002168,1218
id002169,383
id002170,356
id002171,535
id002172,402
id002173,564
id002174,1008
id002175,456
id002176,720
id002177,533
id002178,905
id002179,512
id002180,710
id002181,730
id002182,416
id002183,911
id002184,866
id002185,569
id002186,334
id002187,537
id002188,517
id002189,291
id002190,310
id002191,377
id002192,305
id002193,432
id002194,966
id002195,1351
id002196,514
id002197,579
id002198,304
id002199,663
id002200,344
id002201,898
id002202,506
id002203,265
id002204,1324
id002205,615
id002206,282
id002207,292
id002208,324
id002209,1764
id002210,399
id002211,651
id002212,1088
id002213,430
id002214,669
id002215,738
id002216,1100
id002217,902
id002218,464
id002219,1090
id002220,1039
id002221,621
id002222,889
id002223,447
id002224,850
id002225,772
id002226,737
id002227,534
id002228,339
id002229,1171
id002230,403
id002231,464
id002232,276
id002233,643
id002234,1281
id002235,409
id002236,415
id002237,749
id002238,362
id002239,476
id002240,544
id002241,350
id002242,677
id002243,753
id002244,571
id002245,1111
id002246,419
id002247,823
id002248,286
id002249,308
id002250,369
id002251,259
id002252,922
id002253,285
id002254,569
id002255,430
id002256,368
id002257,1176
id002258,570
id002259,393
id002260,1215
id002261,780
id002262,297
id002263,476
id002264,1139
id002265,761
id002266,744
id002267,504
id002268,1213
id002269,689
id002270,1314
id002271,405
id002272,1088
id002273,397
id002274,352
id002275,810
id002276,494
id002277,1038
id002278,838
id002279,585
id002280,656
id002281,854
id002282,1393
id002283,494
id002284,806
id002285,402
id002286,450
id002287,957
id002288,587
id002289,1322
id002290,619
id002291,756
id002292,1388
id002293,889
id002294,730
id002295,606
id002296,258
id002297,1087
id002298,555
id002299,835
id002300,409
id002301,582
id002302,549
id002303,1337
id002304,760
id002305,457
id002306,681
id002307,585
id002308,476
id002309,784
id002310,963
id002311,652
id002312,1602
id002313,520
id002314,690
id002315,518
id002316,364
id002317,486
id002318,805
id002319,960
id002320,877
id002321,392
id002322,450
id002323,721
id002324,1164
id002325,312
id002326,770
id002327,407
id002328,463
id002329,408
id002330,556
id002331,622
id002332,956
id002333,767
id002334,540
id002335,386
id002336,1113
id002337,597
id002338,279
id002339,442
id002340,1036
id002341,1220
id002342,545
id002343,481
id002344,506
id002345,515
id002346,508
id002347,494
id002348,384
id002349,1179
id002350,770
id002351,666
id002352,320
id002353,1339
id002354,705
id002355,426
id002356,304
